period,exchange_rate,inflation_rate,pms_price,diesel_price,banana_price_ngn,banana_price_usd,milk_price_ngn,milk_price_usd,sugar_price_ngn,sugar_price_usd,culture_price_ngn,culture_price_usd
202201,413.7931034482759,15.6,185.3,539.32,176.9230769230769,0.4307692307692308,3000.0,7.25,538.0,1.3,30830.88813572804,74.23129220371445
202202,415.33546325878586,15.76,185.3,539.32,182.69230769230768,0.4384615384615384,3250.0,7.825000000000001,548.0,1.32,30830.88813572804,74.23129220371445
202203,415.4302670623145,15.92,185.3,539.32,179.23076923076923,0.4307692307692308,3500.0,8.425,558.0,1.34,9363.816683151994,22.540044444444444
202204,414.2011834319527,16.815,172.61,654.46,200.3846153846154,0.4807692307692307,3500.0,8.45,616.0,1.48,9110.229585099314,21.95334722222222
202205,414.5077720207254,17.71,173.08,671.08,239.23076923076923,0.5769230769230769,4000.0,9.65,616.0,1.48,8856.642487046633,21.36665
202206,419.5753092335799,18.6,175.89,700.7850000000001,236.45299145299145,0.5645299145299145,4108.333333333333,9.779166666666667,636.4444444444445,1.508888888888889,23334.805650924245,55.20658629032258
202207,424.6428464464344,19.2225,190.01,730.49,233.67521367521368,0.5521367521367521,4216.666666666667,9.908333333333333,656.8888888888889,1.5377777777777777,37812.96881480186,89.04652258064516
202208,429.710383659289,19.845,189.46,760.1949999999999,230.89743589743588,0.5397435897435897,4325.0,10.0375,677.3333333333334,1.5666666666666667,43593.28523276476,101.30351539302242
202209,434.7779208721435,20.4675,191.65,789.9,228.1196581196581,0.5273504273504274,4433.333333333333,10.166666666666666,697.7777777777778,1.5955555555555556,49373.601650727665,113.56050820539969
202210,439.84545808499803,21.09,195.29,799.22,225.34188034188034,0.5149572649572649,4541.666666666667,10.295833333333334,718.2222222222222,1.6244444444444444,56760.11255705761,128.86920648365222
202211,444.91299529785255,21.215,202.48,808.54,222.56410256410257,0.5025641025641026,4650.0,10.425,738.6666666666666,1.6533333333333333,64146.623463387565,144.17790476190476
202212,449.9805325107071,21.34,206.19,817.86,219.78632478632477,0.4901709401709402,4758.333333333333,10.554166666666667,759.1111111111111,1.6822222222222223,11047.74954166542,24.551616666666668
202301,455.04806972356164,21.581666666666667,234.975,828.82,217.008547008547,0.4777777777777778,4866.666666666667,10.683333333333334,779.5555555555555,1.711111111111111,10887.352702746412,23.92572
202302,460.11560693641616,21.82333333333333,263.76,834.815,214.23076923076923,0.4653846153846154,4975.0,10.8125,800.0,1.74,25459.41552140368,55.33264931159343
202303,459.7701149425287,22.065,258.91,840.81,192.3076923076923,0.4153846153846154,5000.0,10.875,800.0,1.74,26664.951848400124,57.99627027027027
202304,459.7701149425287,22.306666666666665,254.06,842.25,254.6153846153846,0.5538461538461538,5000.0,10.875,800.0,1.74,13462.524294670844,29.28099034090909
202305,460.093896713615,22.54833333333333,238.11,826.3266666666667,230.7692307692308,0.5,4900.0,10.65,866.0,1.89,12296.22410015649,26.725466666666662
202306,611.111111111111,22.79,545.83,810.4033333333333,240.3846153846154,0.3923076923076923,4950.0,8.100000000000001,975.0,1.6,16211.455598465342,26.361218749999995
202307,774.1935483870968,23.925,600.35,794.48,269.2307692307692,0.3461538461538461,6000.0,7.75,1024.0,1.32,20126.687096774192,25.99697083333333
202308,758.957654723127,25.06,626.7,854.32,273.57692307692304,0.3615384615384615,5825.0,7.675,1150.0,1.52,83629.72520604994,110.190238790804
202309,767.6409836065575,26.195,626.21,890.8,260.2538461538461,0.3384615384615384,5853.262500000001,7.625,1200.0,1.56,63746.06241806838,82.95174252720267
202310,766.721044045677,27.33,630.63,1004.98,288.46153846153845,0.3769230769230769,5875.0,7.6625,1340.0,1.74,43862.399630086824,55.713246263601334
202311,842.1052631578947,28.125,648.93,1055.57,307.6923076923077,0.3615384615384615,6000.0,7.125,1488.42,1.77,23978.736842105263,28.47475
202312,788.9344262295082,28.92,671.86,1126.69,205.3846153846154,0.2615384615384615,7218.75,9.15,1600.0,2.02,30295.934525383396,38.401080645161294
202401,865.4807121661721,29.926,668.3,1153.01,230.7692307692308,0.2692307692307692,7291.675,8.425,1732.0,2.0,45080.446611139145,52.087176499068775
202402,1515.151515151515,30.932,679.36,1247.085,384.6153846153846,0.2538461538461538,7500.0,4.95,1984.83,1.31,43682.85984848484,28.8306875
202403,1613.7720207253885,31.938,690.3,1341.16,384.6153846153846,0.2384615384615384,7786.45,4.825,2196.66,1.36,82854.01273554258,67.28425713582678
202404,1154.0351201478743,32.944,701.24,1415.06,364.95,0.3153846153846154,7804.1625,6.7625,1981.87,1.72,122025.16562260031,105.73782677165354
202405,1521.557213930348,33.95,769.62,1403.96,384.6153846153846,0.2538461538461538,7645.825,5.025,2029.68,1.34,24910.195060599774,16.371513888888888
202406,1489.8009478672984,34.19,750.17,1462.98,384.6153846153846,0.2615384615384615,7858.7,5.275,2022.93,1.35,33774.97825073005,21.533784750531524
202407,1597.230769230769,34.1125,770.54,1379.48,429.9,0.2692307692307692,9862.9,6.175000000000001,2057.42,1.29,42639.761440860326,26.69605561217416
202408,1592.0080971659918,34.035,830.46,1399.155,384.6153846153846,0.2384615384615384,9830.65,6.175,2181.94,1.36,38111.51279134998,23.69109129815057
202409,1623.4679487179487,33.9575,1030.46,1418.83,394.2307692307692,0.2461538461538461,9497.2875,5.8500000000000005,2360.0,1.46,33583.26414183964,20.686126984126982
202410,1635.593220338983,33.88,1184.83,1441.28,398.0153846153846,0.2423076923076922,9650.0,5.9,2373.3333333333335,1.4933333333333334,36509.490197123865,22.969172156084657
202411,1666.6666666666665,34.6,1214.17,1441.28,454.8307692307692,0.273076923076923,9250.0,5.550000000000001,2386.6666666666665,1.5266666666666666,39435.716252408085,25.252217328042327
202412,1538.4615384615386,34.8,1189.12,1441.28,512.8230769230769,0.3307692307692307,10000.0,6.5,2400.0,1.56,42361.94230769231,27.5352625
202501,1556.4202334630352,32.434,1189.12,1441.28,264.05384615384617,0.173076923076923,10000.0,6.425,2286.32,1.47,91203.06095979249,58.59796666666667
202502,1509.433962264151,30.068,1189.12,1441.28,439.5615384615384,0.2923076923076923,10000.0,6.625,2274.78,1.51,72804.97233629023,46.53380194444445
202503,1550.3875968992247,27.702,1189.12,1441.28,585.5615384615385,0.3807692307692307,10000.0,6.45,2107.9,1.36,54406.88371278797,34.46963722222222
202504,1607.1428571428569,25.336,1189.12,1441.28,461.5384615384616,0.2846153846153846,9000.0,5.6000000000000005,2210.0,1.38,36008.795089285704,22.4054725
202505,1600.0,22.97,1189.12,1441.28,512.8230769230769,0.323076923076923,10000.0,6.25,2186.66,1.36,92773.28936633469,59.61559370454546
202506,1544.4015444015445,21.586,1189.12,1441.28,508.3615384615384,0.3307692307692307,10000.0,6.475,2032.67,1.32,149537.78364338368,96.82571490909092
202507,1526.7175572519081,20.202,1189.12,1441.28,692.3076923076923,0.4538461538461538,10000.0,6.550000000000001,2020.74,1.32,149537.78364338368,96.82571490909092
202508,1532.5670498084291,18.818,1189.12,1441.28,655.1884615384615,0.4269230769230769,10000.0,6.525,2015.0,1.31,149537.78364338368,96.82571490909092
202509,1498.1273408239701,17.434,1189.12,1441.28,423.0769230769231,0.2807692307692307,10000.0,6.675,2100.0,1.4,149537.78364338368,96.82571490909092
202510,1465.2014652014652,16.05,1189.12,1441.28,415.6807692307692,0.2846153846153846,10000.0,6.825,2040.0,1.4,149537.78364338368,96.82571490909092
202511,1444.043321299639,14.45,1189.12,1441.28,408.02307692307687,0.2846153846153846,10000.0,6.925,2004.67,1.39,149537.78364338368,96.82571490909092
202512,1444.043321299639,14.45,1189.12,1441.28,408.02307692307687,0.2846153846153846,10000.0,6.925,2004.67,1.39,149537.78364338368,96.82571490909092
